batsman,actual_runs,expected_runs,balls,replacement_exp,batting_war
Nuzhat Tasnia,16,33.035559972497914,43,28.080225976623225,-1.2080225976623225
S Dhamala,12,28.36659703815462,40,24.111607482431427,-1.2111607482431428
S Laomi,74,101.33036562251941,147,86.1308107791415,-1.2130810779141499
NY McLean,231,286.06321691096116,362,243.15373437431697,-1.215373437431697
HK Bennett,10,26.179786267838804,35,22.252818327662983,-1.2252818327662982
Umm-e-Hani,40,61.55068399327717,77,52.31808139428559,-1.2318081394285592
P Mujaji,86,115.67584258321936,166,98.32446619573646,-1.2324466195736463
A Shamshudeen,3,18.03648505401655,30,15.331012295914066,-1.2331012295914066
FC Jonas,14,31.058252338360578,57,26.399514487606492,-1.239951448760649
LDVV Silva,34,54.60269922878577,76,46.4122943444679,-1.2412294344467902
Shawaal Zulfiqar,15,32.27169302995143,45,27.430939075458713,-1.2430939075458713
HB Shipley,18,35.819058703780044,41,30.446199898213038,-1.2446199898213037
F Walters,16,33.466761524587355,48,28.44674729589925,-1.244674729589925
RP Alexander,34,54.70963878993316,81,46.503192971443184,-1.2503192971443184
AJ Kenealy,39,60.68341429659308,95,51.580902152104116,-1.2580902152104116
