batsman,actual_runs,expected_runs,balls,replacement_exp,batting_war
KM Jadhav,1318,1273.1111666375652,1307,1082.1444916419305,23.585550835806952
RV Uthappa,934,822.3773395119011,1070,699.020738585116,23.497926141488403
CS MacLeod,2015,2095.144493433551,2570,1780.8728194185182,23.412718058148176
MS Chapman,816,686.3743157530527,781,583.4181683900947,23.25818316099053
DP Conway,1411,1387.661144421361,1663,1179.5119727581568,23.148802724184314
RD Berrington,2627,2818.39022672748,3444,2395.631692718358,23.136830728164206
S Samarawickrama,1073,990.3906677844057,1184,841.8320676167448,23.11679323832552
Salman Butt,2186,2300.8153300961844,2932,1955.6930305817566,23.03069694182434
KU Carty,1432,1413.888878827763,1768,1201.8055470035986,23.019445299640143
SA Yadav,773,639.1544023253388,751,543.2812419765379,22.97187580234621
C Kieswetter,985,889.0825156221546,1130,755.7201382788313,22.927986172116867
JM Kemp,1226,1172.847924374184,1473,996.9207357180563,22.907926428194365
BJ McMullen,1175,1113.101477050586,1363,946.1362554929981,22.886374450700192
SE Rutherford,567,399.41100583008034,521,339.49935495556826,22.750064504443174
Agha Salman,995,903.5174362133009,1013,767.9898207813058,22.701017921869425
AU Rashid,916,811.9091211130619,984,690.1227529461027,22.587724705389736
C de Grandhomme,742,608.0476020218515,714,516.8404617185738,22.51595382814262
JP Inglis,674,528.3533331811575,652,449.10033320398384,22.489966679601615
Haris Sohail,1709,1749.757523253336,2010,1487.2938947653356,22.17061052346644
BA King,1419,1410.7754644604306,1725,1199.159144791366,21.984085520863392
AM Rahane,2906,3160.7057722708546,3812,2686.5999064302264,21.940009356977363
JP Faulkner,1025,949.5497728821257,1018,807.1173069498068,21.78826930501932
Aftab Ahmed,1061,992.1655283857691,1451,843.3406991279037,21.765930087209632
HT Tector,1775,1832.2675017620481,2168,1557.4273764977409,21.757262350225915
HM Nicholls,2180,2308.874444268456,2781,1962.5432776281875,21.745672237181246
JM Davison,443,271.472604475984,393,230.7517138045864,21.224828619541363
NJ Astle,1571,1598.7463027552421,2078,1358.9343573419558,21.206564265804424
RL Powell,570,435.22320810291995,626,369.9397268874819,20.006027311251806
JR Hopes,1326,1327.9561920943263,1436,1128.7627632801773,19.72372367198227
K Bhurtel,1295,1292.4374347806006,1631,1098.5718195635104,19.64281804364896
DJ Willey,656,550.0664709767897,702,467.5565003302712,18.844349966972878
MJ Santner,1431,1464.9733705510785,1621,1245.2273649684166,18.57726350315834
KMDN Kulasekara,1323,1337.9619809288085,1660,1137.2676837894871,18.573231621051285
TG Southee,715,624.8312843258891,770,531.1065916770057,18.389340832299432
LD Chandimal,3657,4086.923892925535,5072,3473.8853089867043,18.311469101329568
DM de Silva,1710,1797.9306029177544,2234,1528.2410124800913,18.17589875199087
Imad Wasim,937,888.899838549275,860,755.5648627668837,18.143513723311628
Kushal Malla,756,677.3405505698457,870,575.7394679843688,18.026053201563116
AT Nidamanuru,893,838.6020020561281,1003,712.8117017477089,18.018829825229112
SW Billings,690,600.986240051218,768,510.8383040435353,17.916169595646473
TP Ura,1196,1202.9295671738312,1526,1022.4901320977565,17.35098679022435
MJ Prior,1229,1241.9220389348898,1652,1055.6337330946562,17.336626690534377
FH Allen,582,483.55840913034973,637,411.0246477607973,17.09753522392027
WG Jacks,556,454.4332055144174,561,386.2682246872548,16.97317753127452
CL White,2053,2216.0491944850855,2583,1883.6418153123227,16.935818468767728
Mohammad Ashraful,2301,2508.665261532639,3465,2132.365472302743,16.8634527697257
CK Coventry,645,562.7758466215791,737,478.35946962834225,16.664053037165775
UT Khawaja,1539,1618.1858856458596,1865,1375.4580027989805,16.354199720101953
KOA Powell,934,908.2754085238473,1191,772.0340972452702,16.19659027547298
SC Ganguly,2409,2643.9583449673687,3429,2247.3645932222635,16.163540677773653
Harbhajan Singh,917,889.1780379444469,1147,755.8013322527798,16.119866774722016
N Vanua,769,715.9695866132008,974,608.5741486212207,16.04258513787793
Shaiman Anwar,947,925.5909023557306,1162,786.752267002371,16.0247732997629
R Powell,915,889.3379433228878,1054,755.9372518244546,15.906274817554538
PG Fulton,1216,1244.5405712345284,1726,1057.859485549349,15.814051445065093
G Motie,296,162.52378156253457,290,138.14521432815437,15.785478567184564
Misbah-ul-Haq,4752,5404.995085398577,6549,4594.24582258879,15.775417741120965
Imran Nazir,531,440.4356625132295,604,374.37031313624504,15.662968686375496
JM Vince,590,509.92784214822626,682,433.4386658259923,15.65613341740077
Saim Ayub,515,422.2548224153552,504,358.9165990530519,15.608340094694807
Milind Kumar,677,613.3577809395861,682,521.3541137986481,15.564588620135192
RN ten Doeschate,594,516.5241146473832,682,439.04549745027566,15.495450254972434
Nazmul Hossain Shanto,1242,1279.8104215282513,1572,1087.8388582990135,15.416114170098648
TT Bresnan,871,843.6899037243036,984,717.136418165658,15.386358183434197
Mehedi Hasan Miraz,1206,1238.2052462409977,1541,1052.474459304848,15.35255406951519
GH Dockrell,1197,1228.2193204345806,1475,1043.9864223693935,15.30135776306065
JA Morkel,705,650.1531895219924,727,552.6302110936936,15.236978890630644
Sohaib Maqsood,768,724.6962265853106,935,615.991792597514,15.200820740248606
AS Joseph,461,363.6835115216168,623,309.1309847933743,15.18690152066257
GO Jones,715,662.890838620667,883,563.4572128275669,15.154278717243312
SM Curran,587,513.3124749835295,637,436.315603736,15.068439626399998
LJ Wright,707,655.3861688734806,838,557.0782435424585,14.99217564575415
T Taibu,2837,3161.6641745335755,4237,2687.414548353539,14.958545164646102
MP Vaughan,1382,1451.4222373798343,2118,1233.7089017728592,14.829109822714077
Hasan Ali,377,270.5038825335639,331,229.9283001535293,14.70716998464707
MG Johnson,934,926.3861799382667,1002,787.4282529475266,14.657174705247337
C Campher,963,962.4990829412627,1212,818.1242205000733,14.48757794999267
PA Patel,693,644.9964738065073,884,548.2470027355312,14.475299726446883
A Johnson,438,347.71061819092324,460,295.55402546228476,14.244597453771524
Tanzid Hasan,413,318.9561312112509,410,271.1127115295633,14.188728847043672
F Behardien,1074,1096.9163571611978,1114,932.378903587018,14.162109641298196
Nasir Jamshed,1418,1503.708413991735,1931,1278.1521518929746,13.984784810702536
DS Lehmann,687,644.3045425586638,870,547.6588611748642,13.934113882513577
Abdur Razzak,644,594.1925686026256,880,505.0636833122317,13.893631668776829
Ali Naseer,396,302.7168781813637,399,257.30934645415914,13.869065354584086
KR Mayers,660,613.6440927762158,802,521.5974788597833,13.840252114021666
MR Adair,448,364.5689478077028,421,309.8836056365474,13.811639436345263
JEC Franklin,1107,1141.297934003462,1425,970.1032439029426,13.68967560970574
